Filename, Success, bbox_x1, bbox_y1, bbox_x2, bbox_y2, score
1_s0_fi0_fu0_b0_l0, 1,  674,  518,  733,  607, 1.00
1_s0_fi1_fu1_b0_l0, 1,  687,  521,  746,  609, 1.00
1_s0_fi1_fu2_b0_l0, 1,  684,  521,  743,  609, 1.00
1_s0_fi2_fu1_b0_l0, 1,  688,  522,  749,  610, 1.00
1_s0_fi2_fu2_b0_l0, 1,  688,  521,  750,  610, 1.00
1_s0_fi3_fu1_b0_l0, 1,  702,  522,  761,  612, 1.00
1_s0_fi3_fu2_b0_l0, 1,  699,  523,  758,  613, 1.00
1_s0_fi0_fu0_b0_l1, 1,  664,  522,  727,  612, 1.00
1_s0_fi1_fu1_b0_l1, 1,  678,  526,  742,  615, 1.00
1_s0_fi1_fu2_b0_l1, 1,  674,  524,  736,  614, 1.00
1_s0_fi2_fu1_b0_l1, 1,  683,  529,  741,  619, 1.00
1_s0_fi2_fu2_b0_l1, 1,  675,  521,  734,  610, 1.00
1_s0_fi3_fu1_b0_l1, 1,  691,  528,  752,  616, 1.00
1_s0_fi3_fu2_b0_l1, 1,  692,  528,  754,  615, 1.00
1_s0_fi0_fu0_b1_l0, 1,  700,  536,  760,  628, 1.00
1_s0_fi1_fu1_b1_l0, 1,  689,  539,  751,  628, 1.00
1_s0_fi1_fu2_b1_l0, 1,  691,  535,  756,  626, 1.00
1_s0_fi2_fu1_b1_l0, 1,  707,  542,  769,  637, 1.00
1_s0_fi2_fu2_b1_l0, 1,  708,  543,  772,  637, 1.00
1_s0_fi3_fu1_b1_l0, 1,  720,  538,  783,  631, 1.00
1_s0_fi3_fu2_b1_l0, 1,  697,  542,  761,  637, 1.00
1_s0_fi0_fu0_b1_l1, 1,  719,  561,  788,  660, 1.00
1_s0_fi1_fu1_b1_l1, 1,  712,  561,  781,  658, 1.00
1_s0_fi1_fu2_b1_l1, 1,  733,  564,  799,  668, 1.00
1_s0_fi2_fu1_b1_l1, 1,  718,  552,  785,  646, 1.00
1_s0_fi2_fu2_b1_l1, 1,  706,  555,  777,  652, 1.00
1_s0_fi3_fu1_b1_l1, 1,  720,  556,  790,  651, 1.00
1_s0_fi3_fu2_b1_l1, 1,  721,  559,  793,  652, 1.00
1_s1_fi0_fu0_b0_l0, 1,  646,  462,  701,  521, 0.98
1_s1_fi1_fu1_b0_l0, 1,  680,  465,  731,  540, 0.98
1_s1_fi1_fu2_b0_l0, 1,  669,  459,  729,  536, 1.00
1_s1_fi2_fu1_b0_l0, 1,  676,  480,  733,  558, 1.00
1_s1_fi2_fu2_b0_l0, 1,  669,  479,  728,  561, 1.00
1_s1_fi3_fu1_b0_l0, 1,  663,  473,  722,  554, 0.99
1_s1_fi3_fu2_b0_l0, 1,  669,  479,  729,  562, 1.00
1_s1_fi0_fu0_b0_l1, 1,  646,  466,  707,  557, 1.00
1_s1_fi1_fu1_b0_l1, 1,  711,  497,  776,  581, 1.00
1_s1_fi1_fu2_b0_l1, 1,  711,  488,  772,  577, 1.00
1_s1_fi2_fu1_b0_l1, 1,  721,  494,  787,  580, 1.00
1_s1_fi2_fu2_b0_l1, 1,  720,  489,  778,  572, 1.00
1_s1_fi3_fu1_b0_l1, 1,  720,  512,  792,  601, 1.00
1_s1_fi3_fu2_b0_l1, 1,  733,  496,  800,  583, 1.00
1_s1_fi0_fu0_b1_l0, 1,  660,  464,  725,  529, 0.99
1_s1_fi1_fu1_b1_l0, 1,  711,  495,  776,  582, 1.00
1_s1_fi1_fu2_b1_l0, 1,  720,  488,  784,  578, 1.00
1_s1_fi2_fu1_b1_l0, 1,  719,  492,  785,  580, 1.00
1_s1_fi2_fu2_b1_l0, 1,  728,  495,  793,  586, 1.00
1_s1_fi3_fu1_b1_l0, 1,  728,  492,  788,  580, 1.00
1_s1_fi3_fu2_b1_l0, 1,  732,  508,  798,  598, 1.00
1_s1_fi0_fu0_b1_l1, 1,  680,  536,  754,  606, 0.96
1_s1_fi1_fu1_b1_l1, 1,  731,  499,  799,  594, 1.00
1_s1_fi1_fu2_b1_l1, 1,  702,  538,  768,  628, 1.00
1_s1_fi2_fu1_b1_l1, 1,  715,  504,  780,  603, 1.00
1_s1_fi2_fu2_b1_l1, 1,  718,  496,  791,  590, 1.00
1_s1_fi3_fu1_b1_l1, 1,  716,  512,  784,  606, 1.00
1_s1_fi3_fu2_b1_l1, 1,  719,  506,  794,  596, 1.00
1_s2_fi0_fu0_b0_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu1_b0_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu2_b0_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi2_fu1_b0_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi2_fu2_b0_l0, 1, 1045,  626, 1112,  687, 0.61
1_s2_fi3_fu1_b0_l0, 1, 1209,  549, 1277,  714, 0.58
1_s2_fi3_fu2_b0_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi0_fu0_b0_l1, 1, 1045,  626, 1112,  686, 0.62
1_s2_fi1_fu1_b0_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi2_fu1_b0_l1, 1, 1045,  627, 1114,  686, 0.74
1_s2_fi2_fu2_b0_l1, 1, 1044,  626, 1114,  686, 0.67
1_s2_fi3_fu1_b0_l1, 1, 1044,  627, 1114,  687, 0.64
1_s2_fi3_fu2_b0_l1, 1, 1045,  627, 1114,  687, 0.73
1_s2_fi0_fu0_b1_l0, 1, 1046,  625, 1111,  686, 0.65
1_s2_fi1_fu1_b1_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu2_b1_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi2_fu1_b1_l0, 1, 1044,  625, 1112,  686, 0.55
1_s2_fi2_fu2_b1_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi3_fu1_b1_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi3_fu2_b1_l0, 0,    0,    0,    0,    0, -1.00
1_s2_fi0_fu0_b1_l1, 1, 1045,  627, 1113,  686, 0.79
1_s2_fi1_fu1_b1_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu2_b1_l1, 1, 1043,  627, 1113,  686, 0.63
1_s2_fi2_fu1_b1_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi2_fu2_b1_l1, 1, 1045,  627, 1114,  687, 0.50
1_s2_fi3_fu1_b1_l1, 1, 1044,  627, 1114,  689, 0.66
1_s2_fi3_fu2_b1_l1, 1, 1046,  626, 1114,  684, 0.61
2_s0_fi0_fu0_b0_l0, 1,  700,  547,  743,  611, 1.00
2_s0_fi1_fu1_b0_l0, 1,  688,  542,  730,  604, 1.00
2_s0_fi1_fu2_b0_l0, 1,  696,  543,  739,  604, 1.00
2_s0_fi2_fu1_b0_l0, 1,  688,  546,  729,  609, 1.00
2_s0_fi2_fu2_b0_l0, 1,  697,  545,  740,  607, 1.00
2_s0_fi3_fu1_b0_l0, 1,  706,  547,  748,  612, 1.00
2_s0_fi3_fu2_b0_l0, 1,  705,  549,  748,  615, 1.00
2_s0_fi0_fu0_b0_l1, 1,  686,  548,  727,  612, 1.00
2_s0_fi1_fu1_b0_l1, 1,  682,  546,  723,  608, 1.00
2_s0_fi1_fu2_b0_l1, 1,  684,  548,  725,  611, 1.00
2_s0_fi2_fu1_b0_l1, 1,  684,  548,  725,  612, 1.00
2_s0_fi2_fu2_b0_l1, 1,  684,  546,  725,  608, 1.00
2_s0_fi3_fu1_b0_l1, 1,  684,  546,  726,  609, 1.00
2_s0_fi3_fu2_b0_l1, 1,  691,  552,  734,  616, 1.00
2_s0_fi0_fu0_b1_l0, 1,  713,  577,  763,  644, 1.00
2_s0_fi1_fu1_b1_l0, 1,  772,  579,  818,  647, 1.00
2_s0_fi1_fu2_b1_l0, 1,  753,  578,  800,  647, 1.00
2_s0_fi2_fu1_b1_l0, 1,  765,  579,  812,  648, 1.00
2_s0_fi2_fu2_b1_l0, 1,  755,  580,  800,  650, 1.00
2_s0_fi3_fu1_b1_l0, 1,  763,  578,  810,  648, 1.00
2_s0_fi3_fu2_b1_l0, 1,  758,  569,  804,  637, 1.00
2_s0_fi0_fu0_b1_l1, 1,  742,  579,  790,  648, 1.00
2_s0_fi1_fu1_b1_l1, 1,  726,  581,  777,  649, 1.00
2_s0_fi1_fu2_b1_l1, 1,  728,  582,  781,  651, 1.00
2_s0_fi2_fu1_b1_l1, 1,  727,  581,  777,  648, 1.00
2_s0_fi2_fu2_b1_l1, 1,  729,  580,  778,  648, 1.00
2_s0_fi3_fu1_b1_l1, 1,  742,  583,  793,  651, 1.00
2_s0_fi3_fu2_b1_l1, 1,  725,  583,  777,  650, 1.00
2_s1_fi0_fu0_b0_l0, 1,  679,  488,  721,  548, 1.00
2_s1_fi1_fu1_b0_l0, 1,  669,  499,  713,  554, 1.00
2_s1_fi1_fu2_b0_l0, 1,  680,  498,  726,  557, 0.99
2_s1_fi2_fu1_b0_l0, 1,  698,  489,  746,  544, 0.99
2_s1_fi2_fu2_b0_l0, 1,  665,  491,  709,  554, 0.99
2_s1_fi3_fu1_b0_l0, 1,  683,  493,  737,  550, 0.96
2_s1_fi3_fu2_b0_l0, 1,  705,  489,  751,  554, 0.99
2_s1_fi0_fu0_b0_l1, 1,  703,  511,  755,  573, 1.00
2_s1_fi1_fu1_b0_l1, 1,  744,  531,  794,  597, 0.99
2_s1_fi1_fu2_b0_l1, 1,  730,  523,  788,  590, 1.00
2_s1_fi2_fu1_b0_l1, 1,  736,  525,  789,  591, 1.00
2_s1_fi2_fu2_b0_l1, 1,  741,  524,  797,  589, 0.99
2_s1_fi3_fu1_b0_l1, 1,  737,  534,  786,  601, 1.00
2_s1_fi3_fu2_b0_l1, 1,  740,  512,  790,  576, 1.00
2_s1_fi0_fu0_b1_l0, 1,  712,  511,  756,  570, 1.00
2_s1_fi1_fu1_b1_l0, 1,  738,  515,  785,  580, 1.00
2_s1_fi1_fu2_b1_l0, 1,  736,  515,  784,  579, 1.00
2_s1_fi2_fu1_b1_l0, 1,  728,  510,  777,  572, 1.00
2_s1_fi2_fu2_b1_l0, 1,  749,  517,  795,  584, 1.00
2_s1_fi3_fu1_b1_l0, 1,  736,  522,  786,  587, 1.00
2_s1_fi3_fu2_b1_l0, 1,  728,  516,  780,  580, 1.00
2_s1_fi0_fu0_b1_l1, 1,  699,  539,  751,  579, 0.77
2_s1_fi1_fu1_b1_l1, 1,  720,  532,  770,  595, 0.99
2_s1_fi1_fu2_b1_l1, 1,  715,  519,  763,  581, 0.99
2_s1_fi2_fu1_b1_l1, 1,  715,  524,  765,  581, 0.99
2_s1_fi2_fu2_b1_l1, 1,  718,  533,  766,  596, 0.98
2_s1_fi3_fu1_b1_l1, 1,  701,  530,  751,  591, 0.99
2_s1_fi3_fu2_b1_l1, 1,  719,  533,  766,  597, 0.98
2_s2_fi0_fu0_b0_l0, 0,    0,    0,    0,    0, -1.00
2_s2_fi1_fu1_b0_l0, 0,    0,    0,    0,    0, -1.00
2_s2_fi1_fu2_b0_l0, 0,    0,    0,    0,    0, -1.00
2_s2_fi2_fu1_b0_l0, 0,    0,    0,    0,    0, -1.00
